Acronym	Title
TRAP	Tactical Receive equipment and related Applications
UAAP	University Athletic Association of the Philippines
UCBSA	United Cricket Board of South Africa
UCLES	University of Cambridge Local Examinations Syndicate
UMIST	University of Manchester Institute of Science and Technology
UNAMSIL	United Nations Mission in Sierra Leone
UNCLOS	United Nations Convention on the Law of the Sea
UNCSGN	United Nations Conference on the Standardization of Geographical Names
UNCTAD	United Nations Conference on Trade and Development
UNFCCC	United Nations Framework Convention on Climate Change
UNFICYP	United Nations Peacekeeping Force in Cyprus
UNGEGN	United Nations Group of Experts on Geographical Names
UNICRI	United Nations Interregional Crime and Justice Research Institute
UNMIK	United Nations Interim Administration Mission in Kosovo
UNRISD	United Nations Research Institute for Social Development
UNTAC	United Nations Transitional Authority in Cambodia
USAADAC	U.S. Army Air Defense Artillery Center
USAPATRIOT	Uniting and Strengthening America by Providing Appropriate Tools Required to Intercept and Obstruct Terrorism
USDI	United States Department of the Interior
USFWS	United States Fish and Wildlife Service
USNOFS	United States Naval Observatory Flagstaff Station
USPTO	United States Patent and Trademark Office
VEEGA	Venus Earth Earth Gravity Assist manœuvre
VERITAS	Very Energetic Radiation Imaging Telescope Array System
VISCII	VIetnamese Standard Code for Information Interchange
VMF	Marine Fighting Squadron of the United States Marine Corps
WIYN	Wisconsin Indiana Yale NOAO telescope consortium
WMANUS	West Midlands Area National Union of Students
WOSM	World Organization of the Scout Movement
WRAIR	Walter Reed Army Institute of Research
WRT	Third party firmware for the Linksys WRT routers and compatible models from other vendors.
WSROC	Western Sydney Regional Organisation of Councils
